,StockType,Title,Exterior,Interior,Transmission,Drivetrain,Price,Mileage
1705,USED,2014 Lamborghini Gallardo LP550-2,Black,Black,Automatic,RWD,119900,$5000
1706,USED,2011 Honda CR-Z EX,Red,Silver,Manual,FWD,6995,$600
1707,USED,2006 Bentley Continental GT,Black,Other,Automatic,AWD,37998,47810
1708,USED,1999 BMW Z3 2.8L,Blue,Beige,Other / Unknown,RWD,14971,74767
1709,NEW,2020 Aston Martin Vantage Base,Blue,Other,Automatic,RWD,178482,0
1710,AUDI CERTIFIED,2016 Audi TT 2.0T,White,Black,Automatic,AWD,30000,19724
1711,USED,2018 BMW M4 Base,Gray,Red,Automatic,RWD,47900,6753
1712,USED,2011 Scion tC Base,Silver,Gray,Automatic,FWD,7950,75123
1713,NEW,2019 Cadillac ATS-V Base,Other,Black,Automatic,RWD,78460,0
1714,USED,1981 Pontiac Grand Prix Base,Blue,Blue,Automatic,RWD,5500,87568
1715,USED,2004 Chevrolet Monte Carlo LS,Silver,Gray,Automatic,FWD,3300,65589
1716,USED,2010 Ferrari 458 Italia Base,Yellow,Black,Automatic,RWD,149800,10644
1717,NEW,2020 Jaguar F-TYPE P300,Red,Black,Automatic,RWD,70984,$593
1718,USED,2014 Audi S5 3.0T Premium Plus quattro,Blue,Silver,Automatic,AWD,26981,18014
1719,NEW,2019 Cadillac ATS 2.0L Turbo,Black,Black,Automatic,RWD,40419,0
1720,USED,2005 Chrysler Crossfire SRT-6,Black,Gray,Automatic,RWD,14000,24012
1721,NEW,2020 Nissan GT-R Premium,White,Black,Automatic,AWD,109621,0
1722,NEW,2019 BMW 430 i xDrive,White,Beige,Automatic,AWD,44762,0
1723,USED,2014 Porsche Cayman Base,White,Beige,Manual,RWD,36998,26562
1724,NEW,2019 Mercedes-Benz AMG C 43 Base 4MATIC,Gray,Other,Automatic,AWD,65600,0
1725,USED,2015 Aston Martin DB9 Carbon Edition,Black,Black,Automatic,RWD,94900,12863
1726,USED,2013 Bentley Continental GT Speed,Black,Black,Automatic,AWD,78989,45958
1727,USED,2010 Scion tC,Red,Gray,Automatic,FWD,6833,87114
1728,USED,1992 Acura NSX,Silver,Black,Manual,RWD,37570,164928
1729,USED,2018 Ford Shelby GT350 Base,Gray,Black,Manual,RWD,48900,7250
1730,NEW,2020 Chevrolet Camaro 1LT,White,Black,Automatic,RWD,28337,0
1731,USED,2016 Cadillac ATS 2.0L Turbo Luxury,White,Black,Automatic,AWD,19990,36122
1732,NEW,2019 Audi RS 5 2.9T quattro,Black,Black,Automatic,AWD,76612,$1688
1733,USED,2012 Scion tC SPORTS 6-SPD,Gray,Black,Automatic,FWD,5877,91757
1734,USED,2008 Scion tC,Red,Black,Automatic,FWD,2499,149730
1735,USED,2013 Chevrolet Camaro 1LS,Silver,Black,Manual,RWD,10000,90554
1736,USED,2006 Porsche Cayman S,Black,Orange,Manual,RWD,29900,19858
1737,USED,2017 Ford Shelby GT350 Base,Blue,Beige,Manual,RWD,43899,13694
1738,USED,2017 Mercedes-Benz C 300 4MATIC,White,Black,Automatic,AWD,23950,26102
1739,USED,1966 Ford Thunderbird,Red,Black,Automatic,RWD,12995,30296
1740,USED,2009 Audi A5 3.2 quattro,Black,Black,Manual,AWD,11995,59627
1741,USED,2006 Lamborghini Murcielago,Orange,Beige,Automatic,AWD,160000,14100
1742,USED,2017 INFINITI Q60 3.0t Premium,Blue,Gray,Automatic,RWD,24491,41229
1743,USED,2005 Lamborghini Murcielago,Gray,Other,Automatic,AWD,159888,4565
1744,USED,2018 Dodge Challenger R/T,Red,Black,Automatic,RWD,18995,32488
1745,USED,2012 Maserati GranTurismo MC,Gray,Black,Automanual,RWD,51500,12420
1746,NEW,2019 Lexus RC 300 RC 300,Black,Other,Automatic,AWD,49879,0
1747,USED,2017 Honda Accord Touring,Red,Black,Automatic,FWD,18995,41495
1748,USED,2007 Mitsubishi Eclipse GS,Red,Other,Manual,FWD,4700,71050
1749,USED,1981 Lamborghini Countach,Yellow,Yellow,Manual,RWD,98000,19000
1750,USED,2013 Hyundai Genesis Coupe 2.0T,Black,Black,Automatic,RWD,8998,85109
1751,USED,2013 Scion tC,White,Other,Automatic,FWD,10000,73295
1752,USED,2016 Cadillac ATS-V Base,Red,Black,Automatic,RWD,33998,39537
1753,USED,1997 Pontiac Firebird Trans Am,Red,Beige,Automatic,RWD,3158,96069
1754,USED,2006 Mercedes-Benz SLR McLaren,Black,Black,Automatic,RWD,214900,19934
1755,USED,2015 Lexus RC 350 Base,Black,Black,Automatic,AWD,26498,40856
1756,USED,2005 Pontiac GTO,Yellow,Black,Automatic,RWD,14977,69680
1757,USED,2012 Chevrolet Camaro 2SS,Black,Black,Manual,RWD,20411,11325
1758,USED,2016 Ford Mustang EcoBoost,Red,Black,Automatic,RWD,14950,34000
1759,USED,2014 Mercedes-Benz CL 550 4MATIC,Silver,Other,Automatic,AWD,30919,$1000
1760,NEW,2019 Ford Shelby GT350 Base,Blue,Black,Manual,RWD,66250,0
1761,USED,2016 BMW 428 i SULEV,Blue,Other,Automatic,RWD,20400,22005
1762,USED,2015 BMW M4 Base,Gray,Beige,Automatic,RWD,39800,18621
1763,USED,2005 Nissan 350Z Touring,Red,Black,Automatic,RWD,8184,72543
1764,USED,2016 BMW 428 i SULEV,Gray,Black,Automatic,RWD,27999,8651
1765,NEW,2020 BMW 230 i xDrive,White,Black,Automatic,AWD,42440,0
1766,USED,1997 Saturn SC,White,Gray,Manual,FWD,1999,177559
1767,USED,2012 Ford Shelby GT500 Base,White,Black,Manual,RWD,33949,20492
1768,USED,2017 BMW 230 i,White,Black,Manual,RWD,23880,38863
1769,USED,2016 Lexus RC 350 Base,Blue,Black,Automatic,AWD,28998,$1000
1770,USED,2015 Rolls-Royce Wraith Base,Blue,Other,Automatic,RWD,135800,37275
1771,USED,2017 BMW 440 i,White,Black,Automatic,RWD,33494,9560
1772,NEW,2019 Chevrolet Corvette Stingray Z51,White,Black,Manual,RWD,49347,0
